lyrics,emotion,lirik_clean
ada cerita tentang aku dan dia,sedih,cerita aku dia
dan kita bersama saat dulu kala,sedih,kita sama dulu kala
ada cerita tentang masa yang indah,sedih,cerita masa indah
saat kita berduka saat kita tertawa,sedih,kita duka kita tertawa
ada cerita tentang aku dan dia,sedih,cerita aku dia
dan kita bersama saat dulu kala,sedih,kita sama dulu kala
ada cerita tentang masa yang indah,sedih,cerita masa indah
saat kita berduka saat kita tertawa,sedih,kita duka kita tertawa
waktu terasa semakin berlalu. tinggalkan cerita tentang kita. akan tiada lagi kini tawamu. untuk hapuskan semua sepi di hati. ada cerita tentang aku dan dia. dan kita bersama saat dulu kala. ada cerita tentang masa yang indah. saat kita berduka saat kita tertawa. teringat di saat kita tertawa bersama. ceritakan semua tentang kita. ada cerita tentang aku dan dia. dan kita bersama saat dulu kala. ada cerita tentang masa yang indah. saat kita berduka saat kita tertawa ada cerita tentang aku dan dia. dan kita bersama saat dulu kala. ada cerita tentang masa yang indah. saat kita berduka saat kita tertawa,sedih,waktu asa makin lalu tinggal cerita tiada kini tawa hapus semua sepi hati cerita aku dia kita sama dulu kala cerita masa indah kita duka kita tertawa ingat kita tertawa sama cerita semua kita cerita aku dia kita sama dulu kala cerita masa indah kita duka kita tertawa cerita aku dia kita sama dulu kala cerita masa indah kita duka saat kita tertawa
disaat kau berjalan dimuka rumahku,bahagia,saat kau jalan muka rumah
tersita pandanganku hingga kuterpesona,bahagia,sita pandang hingga pesona
siapakah dirimu hatipun ingin tahu segera,bahagia,siapa diri hati tahu segera
dimanakah rumahmu siapakah namamu,bahagia,mana rumah siapa nama
kuingin berkenalan terbawa dalam mimpi,bahagia,ingin nal bawa mimpi
diriku dimabuk asmara,bahagia,diri mabuk asmara
pada pandangan pertama,bahagia,pandang pertama
aku cinta aku cinta dia,bahagia,aku cinta aku cinta
pada pandangan pertama,bahagia,pandang pertama
pada pandangan pertama,bahagia,pandang pertama
pada landangan pertama,bahagia,landang pertama
pada pandangan pertama,bahagia,pandang pertama
pada pandangan pertama,bahagia,pandang pertama
pada pandangan pertama,bahagia,pandang pertama
aku cinta dia fade out,bahagia,aku cinta fade out
pada pandangan pertama,bahagia,pandang pertama
aku cinta aku cinta dia,bahagia,aku cinta aku cinta
disaat kau berjalan dimuka rumahku. penuh gaya. tersita pandanganku hingga kuterpesona. siapakah dirimu hatipun ingin tahu segera. dimanakah rumahmu siapakah namamu. sebutkanlah. kuingin berkenalan terbawa dalam mimpi. diriku dimabuk asmara. hati yang berbunga. pada pandangan pertama. oh tuhan tolonglah. aku cinta aku cinta dia. disaat kau berjalan. di muka rumahku. penuh gaya. tersita pandanganku. hinggaku terpesona. gayamu dan wajahmu. terbawa dalam mimpi. diriku. dimabuk asmaraaaa. hati yang berbunga. pada pandangan pertama. oh tuhan tolonglah. aku cinta . aku cinta dia. hati yang berbunga. pada pandangan pertama. oh tuhan tolonglah. aku cinta. aku cinta dia. hati yang berbunga. pada landangan pertama. oh tuhan tolonglah. aku cinta. aku cinta dia. hati yang berbunga. pada pandangan pertama. oh tuhan tolonglah. aku cinta. aku cinta dia. hati yang berbunga. pada pandangan pertama. oh tuhan tolonglah. aku cinta. aku cinta dia. hati yang berbunga. pada pandangan pertama. oh tuhan tolonglah. aku cinta. aku cinta dia fade out hati yang berbunga. pada pandangan pertama. oh tuhan tolonglah. aku cinta aku cinta dia,bahagia,saat kau jalan muka rumah penuh gaya sita pandang hingga pesona siapa diri hati tahu segera mana rumah siapa nama sebut ingin nal bawa mimpi diri mabuk asmara hati bunga pandang pertama tuhan tolong aku cinta aku cinta saat kau jalan muka rumah penuh gaya sita pandang hingga pesona gaya wajah bawa mimpi diri mabuk asmaraaaa hati bunga pandang pertama tuhan tolong aku cinta aku cinta hati bunga pandang pertama tuhan tolong aku cinta aku cinta hati bunga landang pertama tuhan tolong aku cinta aku cinta hati bunga pandang pertama tuhan tolong aku cinta aku cinta hati bunga pandang pertama tuhan tolong aku cinta aku cinta hati bunga pandang pertama tuhan tolong aku cinta aku cinta fade out hati bunga pandang pertama tuhan tolong aku cinta aku cinta
walaupun diri ini menyukaimu,bahagia,walaupun diri suka
kamu seperti tidak tertarik kepadaku,bahagia,kamu tidak tarik kepada
siap patah hati kesekian kalinya,bahagia,siap patah hati sekian kali
ketika kulihat di sekelilingku,bahagia,lihat keliling
ternyata banyak sekali gadis yang cantik,bahagia,nyata banyak sekali gadis cantik
bunga yang tidak menarik tidak akan disadari,bahagia,bunga tarik tidak akan sadar
saat aku melamun terdengar musik,bahagia,aku lamun dengar musik
mengalun di kafetaria,bahagia,alun kafetaria
tanpa sadar kuikuti iramanya,bahagia,sadar ikut irama
dan ujung jari pun mulai bergerak,bahagia,ujung jari mulai gerak
perasaanku ini tidak dapat berhenti,bahagia,asa tidak henti
come on come on come on come on baby,bahagia,come on come on come on come on baby
yang mencinta fortune cookie,bahagia,cinta fortune cookie
masa depan tidak akan seburuk itu,bahagia,masa depan akan buruk
mengembangkan senyuman,bahagia,kembang senyum
kan membawa keberuntungan,bahagia,kan bawa untung
fortune cookie berbentuk hati,bahagia,fortune cookie bentuk hati
nasib lebih baiklah dari hari ini,bahagia,nasib lebih baik hari
janganlah menyerah dalam menjalani hidup,bahagia,jangan serah jalan hidup
akan datang keajaiban yang tidak terduga,bahagia,datang ajaib tidak duga
aku punya firasat untuk bisa saling mencinta denganmu,bahagia,aku punya firasat bisa saling cinta dengan
ingin ungkapkan perasaan padamu,bahagia,ungkap asa pada
tetapi aku tidak percaya diri,bahagia,aku percaya diri
karena reaksimu terbayang di benakku,bahagia,reaksi bayang benak
meski cowok bilang gadis ideal,bahagia,meski cowok bilang gadis ideal
yang punya kepribadian baik,bahagia,punya pribadi baik
penampilan itu menguntungkan,bahagia,tampil untung
selalu hanya gadis cantik saja,bahagia,selalu gadis cantik
yang kan dipilih menjadi nomor satu,bahagia,kan pilih jadi nomor satu
please please please oh baby,bahagia,please please please baby
yang mencinta fortune cookie,bahagia,cinta fortune cookie
cangkang itu ayo coba pecahkan saja,bahagia,cangkang ayo coba pecah
siapa pun tidak ada yang tahu,bahagia,siapa tidak yang tahu
air mata fortune cookie,bahagia,air mata fortune cookie
aku mohon jangan menjadi hal yang buruk,bahagia,aku mohon jangan jadi yang buruk
dunia ini kan dipenuhi oleh cinta,bahagia,dunia kan penuh cinta
esok hari akan berhembus angin yang baru,bahagia,esok hari hembus angin baru
yang membuat kita terlupa akan hal yang menyedihkan,bahagia,buat lupa hal sedih
come on come on come on come on baby,bahagia,come on come on come on come on baby
yang mencinta fortune cookie,bahagia,cinta fortune cookie
masa depan tidak akan seburuk itu,bahagia,masa depan akan buruk
mengembangkan senyuman,bahagia,kembang senyum
kan membawa keberuntungan,bahagia,kan bawa untung
fortune cookie berbentuk hati,bahagia,fortune cookie bentuk hati
nasib lebih baiklah dari hari ini,bahagia,nasib lebih baik hari
janganlah menyerah dalam menjalani hidup,bahagia,jangan serah jalan hidup
akan datang keajaiban yang tidak terduga,bahagia,datang ajaib tidak duga
aku punya firasat untuk bisa saling mencinta denganmu,bahagia,aku punya firasat bisa saling cinta dengan
yang mencinta fortune cookie,bahagia,cinta fortune cookie
masa depan tidak akan seburuk itu,bahagia,masa depan akan buruk
mengembangkan senyuman,bahagia,kembang senyum
kan membawa keberuntungan,bahagia,kan bawa untung
fortune cookie berbentuk hati,bahagia,fortune cookie bentuk hati
nasib lebih baiklah dari hari ini,bahagia,nasib lebih baik hari
janganlah menyerah dalam menjalani hidup,bahagia,jangan serah jalan hidup
akan datang keajaiban yang tidak terduga,bahagia,datang ajaib tidak duga
aku punya firasat untuk bisa saling mencinta denganmu,bahagia,aku punya firasat bisa saling cinta dengan
walaupun diri ini menyukaimu. kamu seperti tidak tertarik kepadaku. siap patah hati kesekian kalinya. yeah yeah yeah . ketika kulihat di sekelilingku. ternyata banyak sekali gadis yang cantik. bunga yang tidak menarik tidak akan disadari. yeah yeah yeah . saat aku melamun terdengar musik. mengalun di kafetaria. tanpa sadar kuikuti iramanya. dan ujung jari pun mulai bergerak. perasaanku ini tidak dapat berhenti. come on come on come on come on baby . tolong ramalkanlah. yang mencinta fortune cookie. masa depan tidak akan seburuk itu. hey hey hey . mengembangkan senyuman. kan membawa keberuntungan. fortune cookie berbentuk hati. nasib lebih baiklah dari hari ini. hey hey hey . hey hey hey . janganlah menyerah dalam menjalani hidup. akan datang keajaiban yang tidak terduga. aku punya firasat untuk bisa saling mencinta denganmu. ingin ungkapkan perasaan padamu. tetapi aku tidak percaya diri. karena reaksimu terbayang di benakku. yeah yeah yeah . meski cowok bilang gadis ideal. yang punya kepribadian baik. penampilan itu menguntungkan. selalu hanya gadis cantik saja. yang kan dipilih menjadi nomor satu. please please please oh baby. lihatlah diriku. yang mencinta fortune cookie. cangkang itu ayo coba pecahkan saja. hey hey hey . apa yang kan terjadi. siapa pun tidak ada yang tahu. air mata fortune cookie. aku mohon jangan menjadi hal yang buruk. hey hey hey . hey hey hey . dunia ini kan dipenuhi oleh cinta. esok hari akan berhembus angin yang baru. yang membuat kita terlupa akan hal yang menyedihkan. come on come on come on come on baby . tolong ramalkanlah. yang mencinta fortune cookie. masa depan tidak akan seburuk itu. hey hey hey . mengembangkan senyuman. kan membawa keberuntungan. fortune cookie berbentuk hati. nasib lebih baiklah dari hari ini. hey hey hey . hey hey hey . janganlah menyerah dalam menjalani hidup. akan datang keajaiban yang tidak terduga. aku punya firasat untuk bisa saling mencinta denganmu yang mencinta fortune cookie. masa depan tidak akan seburuk itu. hey hey hey . mengembangkan senyuman. kan membawa keberuntungan. fortune cookie berbentuk hati. nasib lebih baiklah dari hari ini. hey hey hey . hey hey hey . janganlah menyerah dalam menjalani hidup. akan datang keajaiban yang tidak terduga. aku punya firasat untuk bisa saling mencinta denganmu,bahagia,walaupun diri suka kamu tarik kepada siap patah hati sekian kali yeah yeah yeah lihat keliling nyata banyak sekali gadis cantik bunga tarik sadar yeah yeah yeah aku lamun dengar musik alun kafetaria sadar ikut irama ujung jari mulai gerak asa henti come on come on come on come on baby ramal cinta fortune cookie masa depan buruk hey hey hey kembang senyum kan bawa untung fortune cookie bentuk hati nasib lebih baik hari hey hey hey hey hey hey jangan serah jalan hidup datang ajaib tidak duga aku punya firasat bisa saling cinta dengan ungkap asa pada aku tidak percaya diri reaksi bayang benak yeah yeah yeah meski cowok bilang gadis ideal punya pribadi baik tampil untung selalu gadis cantik kan pilih jadi nomor satu please please please baby lihat diri cinta fortune cookie cangkang ayo coba pecah hey hey hey apa kan jadi siapa tidak tahu air mata fortune cookie aku mohon jangan jadi buruk hey hey hey hey hey hey dunia kan penuh cinta esok hari hembus angin baru buat lupa hal sedih come on come on come on come on baby ramal cinta fortune cookie masa depan tidak akan buruk hey hey hey kembang senyum kan bawa untung fortune cookie bentuk hati nasib lebih baik hari hey hey hey hey hey hey jangan serah jalan hidup akan datang ajaib yang tidak duga aku punya firasat bisa saling cinta dengan yang cinta fortune cookie masa depan tidak akan buruk hey hey hey kembang senyum kan bawa untung fortune cookie bentuk hati nasib lebih baik hari hey hey hey hey hey hey jangan serah jalan hidup akan datang ajaib yang tidak duga aku punya firasat bisa saling cinta dengan
berbagi rasa untuk selamanya,sedih,bagi rasa lama
berbagi rasa sepanjang usia,sedih,bagi rasa panjang usia
cintaku yang khianat cintaku berkhianat,sedih,cinta khianat cinta khianat
aku terjatuh dan tidak bisa bangkit lagi,sedih,aku jatuh tidak bangkit
aku tenggelam dalam lautan luka dalam,sedih,aku tenggelam laut luka
aku tersesat dan tidak tahu arah jalan pulang,sedih,aku sesat tidak tahu arah jalan pulang
aku tanpamu butiran debu,sedih,aku tanpa butir debu
namaku cinta ketika kita bersama,sedih,nama cinta kita sama
berbagi rasa untuk selamanya,sedih,bagi rasa lama
namaku cinta ketika kita bersama,sedih,nama cinta kita sama
berbagi rasa sepanjang usia,sedih,bagi rasa panjang usia
aku terjatuh dan tidak bisa bangkit lagi,sedih,aku jatuh tidak bangkit
aku tenggelam dalam lautan luka dalam,sedih,aku tenggelam laut luka
aku tersesat dan tidak tahu arah jalan pulang,sedih,aku sesat tidak tahu arah jalan pulang
aku tanpamu butiran debu,sedih,aku tanpa butir debu
aku tersesat dan tidak tahu arah jalan pulang,sedih,aku sesat tidak tahu arah jalan pulang
aku tanpamu butiran debu,sedih,aku tanpa butir debu
aku tanpamu butiran debu,sedih,aku tanpa butir debu
aku tanpamu butiran debu,sedih,aku tanpa butir debu
aku tanpamu butiran debu,sedih,aku tanpa butir debu
aku terjatuh dan tidak bisa bangkit lagi,sedih,aku jatuh tidak bangkit
aku tenggelam dalam lautan luka dalam,sedih,aku tenggelam laut luka
aku tersesat dan tidak tahu arah jalan pulang,sedih,aku sesat tidak tahu arah jalan pulang
aku tanpamu butiran debu,sedih,aku tanpa butir debu
namaku cinta. ketika kita bersama. berbagi rasa untuk selamanya. namaku cinta. ketika kita bersama. berbagi rasa sepanjang usia. hingga tiba saatnya. aku pun melihat. cintaku yang khianat cintaku berkhianat. aku terjatuh dan tidak bisa bangkit lagi . aku tenggelam dalam lautan luka dalam . aku tersesat dan tidak tahu arah jalan pulang. aku tanpamu butiran debu. namaku cinta ketika kita bersama . berbagi rasa untuk selamanya. namaku cinta ketika kita bersama . berbagi rasa sepanjang usia. hingga tiba saatnya. aku pun melihat. cintaku yang khianat. cintaku berkhianat. menepi. menepilah. menjauh. semua yang terjadi. antara kita. aku terjatuh dan tidak bisa bangkit lagi . aku tenggelam dalam lautan luka dalam . aku tersesat dan tidak tahu arah jalan pulang. aku tanpamu butiran debu. dalam luka dalam. aku tersesat dan tidak tahu arah jalan pulang. aku tanpamu butiran debu. aku tanpamu butiran debu. aku tanpamu butiran debu. aku tanpamu butiran debu aku terjatuh dan tidak bisa bangkit lagi . aku tenggelam dalam lautan luka dalam . aku tersesat dan tidak tahu arah jalan pulang. aku tanpamu butiran debu,sedih,nama cinta kita sama bagi rasa lama nama cinta kita sama bagi rasa panjang usia hingga tiba saat aku lihat cinta khianat cinta khianat aku jatuh tidak bangkit aku tenggelam laut luka aku sesat tidak tahu arah jalan pulang aku tanpa butir debu nama cinta kita sama bagi rasa lama nama cinta kita sama bagi rasa panjang usia hingga tiba saat aku lihat cinta khianat cinta khianat tepi menep jauh semua jadi kita aku jatuh tidak bangkit aku tenggelam laut luka aku sesat tidak tahu arah jalan pulang aku tanpa butir debu luka aku sesat tidak tahu arah jalan pulang aku tanpa butir debu aku tanpa butir debu aku tanpa butir debu aku tanpa butir debu aku jatuh tidak bangkit aku tenggelam laut luka aku sesat tidak tahu arah jalan pulang aku tanpa butir debu
terlalu lama engkau terkenang,sedih,terlalu lama engkau kenang
hancurkan diri kian jauh tenggelam,sedih,hancur diri kian jauh tenggelam
lelah mencoba untuk lepaskan beban,sedih,lelah coba lepas beban
kaubeli mimpi semu tidak berarti sendiri,sedih,bel mimpi semu arti sendiri
tidak mampu kau beranjak pergi,sedih,mampu kau anjak pergi
jalan yang panjang nanar kautatap,sedih,jalan panjang nanar tatap
tidak lagi peduli semua yang terjadi,sedih,lagi peduli semua jadi
